2025-05-26 17:09:41.427 +06:00 [INF] Starting MyApp...
2025-05-26 17:10:15.869 +06:00 [WRN] Failed to determine the https port for redirect.
2025-05-26 17:10:41.004 +06:00 [INF] HTTP GET /Products/Index responded 200 in 25104.0896 ms
2025-05-26 17:10:41.305 +06:00 [INF] HTTP GET /Products/string responded 404 in 4.5934 ms
2025-05-26 17:10:41.322 +06:00 [INF] HTTP GET /Products/headphones.jpg responded 404 in 6.3083 ms
2025-05-26 17:10:41.322 +06:00 [INF] HTTP GET /Products/keyboard.jpg responded 404 in 6.4306 ms
2025-05-26 17:10:41.322 +06:00 [INF] HTTP GET /css/home.css responded 404 in 6.3464 ms
2025-05-26 17:10:41.322 +06:00 [INF] HTTP GET /Products/ssd.jpg responded 404 in 6.4749 ms
2025-05-26 17:10:41.322 +06:00 [INF] HTTP GET /Products/chair.jpg responded 404 in 6.4250 ms
2025-05-26 17:10:41.333 +06:00 [INF] HTTP GET /Products/webcam.jpg responded 404 in 6.9011 ms
2025-05-26 17:10:41.339 +06:00 [INF] HTTP GET /Products/monitor27.jpg responded 404 in 0.2617 ms
2025-05-26 17:10:41.340 +06:00 [INF] HTTP GET /Products/tv.jpg responded 404 in 0.1864 ms
2025-05-26 17:10:41.358 +06:00 [INF] HTTP GET /placeholder.svg responded 404 in 13.1545 ms
